EPIC,Name,RAdeg,DEdeg,Other,Vmag,Ksmag,(V-K)0,Per1,Per2,Per3,Per4,Ampl,LC,memb,Per,vsini,bp_rp,bp_g,g_rp
211010902,034548.80+230849.7,56.45337,23.14716,HII801,6.85,6.74,0,3.0876,3.2574,2.8975,0,0.001,LC1,best,0,0,,,
211090866,034549.35+242507.3,56.45565,24.4187,BPL77,0,11.8,4.86,2.4271,0,0,0,0.014,LC1,best,0,0,2.476538658,1.281635284,1.194903374
211082883,034551.32+241744.5,56.46385,24.2957,UGCSJ034551.33+241744.2,0,12.73,5.51,0.4114,0,0,0,0.03,LC1,best,0,0,2.453056335,1.137086868,1.315969467
211031105,034552.74+232754.2,56.46978,23.46507,HCG202,0,12.33,5.3,0.6841,0,0,0,0.086,LC2,best,0,0,2.909168243,1.646738052,1.262430191
211078239,034554.98+241326.1,56.47909,24.22394,BPL82,0,11.85,5.52,0.383,0.3644,0,0,0.022,LC1,best,0,0,2.940581322,1.623579025,1.317002296
211003154,034556.95+230129.2,56.48732,23.02478,HCG205,17.9,12.58,5.21,0.5743,0,0,0,0.026,LC1,best,0.57,0,3.011681557,1.731925964,1.279755592
211086480,034557.07+242101.1,56.48783,24.35031,0,0,12.84,6.32,0.2103,0,0,0,0.012,LC1,best,0,0,2.200803757,0.763586044,1.437217712
211073154,034557.90+240841.0,56.49126,24.14475,DH412,0,13.68,5.87,0.2184,0,0,0,0.023,LC1,best,0,0,2.720947266,1.335092545,1.385854721
211047828,034602.75+234414.6,56.51148,23.73739,HII870,12.61,9.26,1.74,3.9585,4.2952,0,0,0.021,LC3,best,3.93,9.7,1.716522217,0.826688766,0.88983345
211107496,034602.95+244055.8,56.51231,24.68218,BPL85,0,13.14,6.4,5.8529,0,0,0,0.1,LC4,best,0,0,3.341615677,1.927602768,1.414012909
211086387,034603.44+242057.1,56.51437,24.3492,HCG206,0,12.56,5.45,0.3745,0,0,0,0.014,LC1,best,0,0,2.557030678,1.281265259,1.275765419
211027393,034604.12+232419.9,56.51717,23.40553,HII882,12.95,9.89,2.95,0.5785,0,0,0,0.043,LC1,best,0.58,80,1.396989822,0.642564774,0.754425049
211059727,034604.29+235540.8,56.51789,23.92801,HHJ363,0,11.82,5.15,0.4336,0,0,0,0.02,LC1,best,0,0,2.520112991,1.302083015,1.218029976
211074500,034604.55+240956.0,56.51899,24.16557,BPL88,0,13.18,5.65,0.728,0,0,0,0.033,LC4,best,0,0,2.905319214,1.569570541,1.335748672
211000470,034605.24+225853.9,56.52185,22.98165,HCG214,14,10.5,3.39,9.8931,8.0227,0,0,0.011,LC1,best,8.6,0,1.774395943,0.867745399,0.906650543
211103222,034605.63+243644.4,56.52346,24.61235,SK488,0,11.44,4.6,1.1298,0,0,0,0.059,LC1,best,0,0,2.472590446,1.3248806,1.147709846
211103322,034605.68+243649.9,56.52369,24.61388,UGCSJ034605.69+243649.7,0,13.06,5.56,1.1297,0,0,0,0.06,LC2,best,0,0,2.985740662,1.646896362,1.338844299
211100398,034606.49+243402.6,56.52706,24.56741,HII879,12.79,10.17,2.51,7.0484,0,0,0,0.036,LC3,best,7.07,6.4,1.35429287,0.618644714,0.735648155
211100131,034606.89+243346.0,56.52874,24.5628,HII883,13.05,10.29,2.65,7.9101,6.8323,0,0,0.029,LC3,best,7.04,3.8,1.458026886,0.678462982,0.779563904
211087985,034607.50+242227.7,56.53126,24.37438,HII890,14.71,10.86,3.74,5.0781,5.6582,0,0,0.018,LC1,best,5.17,5.4,,,
211118542,034607.76+245200.4,56.53236,24.8668,HII885,12.08,9.36,2.61,6.9551,0,0,0,0.017,LC1,best,6.83,5.7,,,
211023687,034608.35+232051.0,56.53483,23.34752,HII915,13.79,10.4,3.28,3.9299,0,0,0,0.089,LC2,best,0,9.3,1.654356003,0.792610168,0.861745834
211107114,034608.69+244033.2,56.53622,24.67591,HCG209,0,12.71,5.37,1.986,0,0,0,0.108,LC4,best,0,0,2.842096329,1.546333313,1.295763016
210983092,034609.58+224237.4,56.53994,22.71039,HCG217,17.3,11.9,5.29,0.8677,0.9494,0,0,0.022,LC1,best,0,8,2.985860825,1.720649719,1.265211105
210881103,034609.87+210552.7,56.54115,21.09799,DH425,0,12.25,5.1,0.4625,0,0,0,0.041,LC1,best,0,0,2.835151672,1.603403091,1.231748581
211106969,034609.89+244025.0,56.54122,24.67362,HII906,15.2,10.59,4.5,1.9819,0,0,0,0.049,LC1,best,2,15,,,
211023213,034610.04+232024.0,56.54187,23.34001,HII923,10.16,8.69,1.36,2.8527,0,0,0,0.02,LC1,best,2.85,18.2,0.806358337,0.338493347,0.46786499
211103863,034611.74+243720.3,56.54893,24.62231,HII916,11.71,9.54,2.06,5.9772,0,0,0,0.132,LC3,best,5.91,6.1,1.063207626,0.464133263,0.599074364
211038588,034612.66+233513.9,56.55275,23.58721,UGCSJ034612.66+233513.5,0,12.99,5.62,0.5507,0,0,0,0.022,LC1,best,0,0,3.016589165,1.69711113,1.319478035
211067768,034612.86+240315.7,56.55361,24.05437,HII930,14.2,10.6,3.49,1.3879,0,0,0,0.06,LC2,best,1.39,19,1.80480957,0.876757622,0.928051949
210982761,034613.84+224219.8,56.55769,22.70551,HHJ200,0,12.46,5.63,0.3079,0.3899,0,0,0.009,LC1,best,0,0,3.20032692,1.894397736,1.305929184
211107734,034617.93+244109.5,56.57472,24.686,HHJ367,16.51,11.69,4.71,5.5174,0,0,0,0.038,LC3,best,5.49,0,2.527447701,1.364263535,1.163184166
210866744,034619.33+205247.2,56.58056,20.87978,PELS050,11.56,9.52,1.93,5.9344,2.8616,0,0,0.026,LC3,best,5.93,0,1.056928635,0.469530106,0.587398529
211002561,034619.40+230055.7,56.58085,23.0155,HHJ47,0,13.18,6.3,0.1807,0.1589,0,0,0.022,LC1,best,0,0,3.578788757,2.163011551,1.415777206
211125236,034619.85+245901.5,56.58273,24.98376,HHJ303,17.4,11.97,5.32,0.6783,0.5051,0,0,0.016,LC1,best,0.34,24,3.02609539,1.438806534,1.587288857
