Theia,OName,logage,Avmag,string,width,height,length,GLON,GLAT,Par,vl,vb,RV,X,Y,Z,U,V,W,dist_pc
324,0,8.05754,0.266723,0,12.4881,18.3719,0.0,187.879,7.51181,1.715,-5.25808,7.93775,-17.1711,-572.627,-79.2462,76.2275,17.5598,7.72097,5.60978,583.0903790087463
325,NGC_6281,8.06799,0.630004,y,22.917,11.6723,265.956,348.707,2.54358,1.7131,4.21477,4.6519,0.534773,635.676,-122.594,37.5631,-3.4574,5.91192,4.27343,583.7370848169984
326,0,8.07891,0.187483,y,39.7271,8.98397,211.172,203.719,20.5869,1.7116,-3.20222,-9.05912,5.35952,-492.743,-232.201,202.41,-0.500169,2.13019,-10.4066,584.2486562280907
327,0,8.00732,0.232651,y,30.4107,12.6636,176.367,248.575,-16.9864,1.645,-13.4454,2.76391,6.31026,-228.442,-550.432,-183.312,-16.5055,-1.39291,0.768366,607.90273556231
328,0,8.09749,0.567722,0,13.8306,8.97339,0.0,2.88113,-4.14513,1.61437,12.9829,1.29634,-19.5762,617.034,31.0538,-44.7747,-20.5331,12.4097,2.61488,619.4366842793163
329,0,8.00707,0.747232,y,37.5961,6.06225,239.638,35.6639,-11.2317,1.58459,-20.9527,-2.5141,18.8855,481.4,345.47,-118.547,37.6013,-0.643718,-8.41022,631.0780706681225
330,ASCC_87,8.04972,0.769112,0,11.475,5.08133,0.0,354.967,8.05719,1.54373,-1.86038,-0.889087,9.70498,638.915,-56.2647,90.7941,9.76099,-2.87067,0.345782,647.7816716653819
331,NGC_2925,8.03936,0.354919,y,69.9356,7.86172,331.921,281.189,-2.83745,1.54036,-24.6869,-4.87118,-4.59848,137.726,-622.524,-36.8867,-26.194,-3.57701,-6.92525,649.1988885715028
332,0,8.04486,0.368968,0,12.74,14.9622,0.0,69.1026,2.30444,1.52925,3.94527,-1.60293,1.19725,233.06,610.407,26.2934,-3.27926,2.63379,-1.62633,653.9153179663233
333,0,8.07632,1.26924,0,9.52802,5.97367,0.0,60.8342,3.71891,1.49795,-16.893,-4.13671,15.4421,324.653,581.713,43.3004,23.6534,5.17668,-3.41081,667.579024667045
334,Collinder_338,8.02727,0.780656,y,32.288,8.22855,207.126,352.556,-3.06446,1.48835,12.9878,-1.88625,-16.4703,646.633,-88.1442,-36.9251,-17.2514,15.1667,-0.954573,671.8849732925723
335,Alessi_8,8.00899,0.388,0,7.08114,5.03735,0.0,326.638,4.19597,1.47716,-9.45575,2.71744,-24.1586,563.899,-371.291,49.5328,-26.0125,5.66994,0.964125,676.9747353028786
336,0,8.00612,0.293908,0,8.76617,6.19209,0.0,55.7026,-13.0392,1.47184,-28.5798,-7.92104,12.3192,372.975,546.814,-153.29,30.6332,-8.29788,-10.9061,679.4216762691597
337,0,8.07717,0.463671,0,7.21882,5.59715,0.0,349.332,-9.41433,1.47059,10.0316,-3.67731,14.6379,659.246,-124.179,-111.229,15.8266,7.54261,-6.13729,679.9991840009791
338,ASCC_73,8.08935,0.428753,0,8.90682,8.15825,0.0,301.856,-4.23405,1.44864,-19.5295,-4.09883,-19.5529,363.338,-584.725,-50.9655,-27.3932,6.81686,-2.65533,690.30262867241
339,0,8.05701,0.487999,y,24.1588,11.7734,247.704,311.045,-2.61688,1.43596,-2.14401,-0.412934,-1.78707,478.214,-560.991,-30.2619,-3.2836,-0.230904,-0.0958619,696.3982283629072
340,0,8.05457,1.08089,0,21.4586,14.6061,0.0,165.515,-2.12964,1.43273,-13.7957,-0.42206,-11.7203,-675.315,174.464,-25.937,15.1345,10.6272,-0.0161094,697.9682145275103
341,0,8.09741,0.874542,0,22.7784,9.40799,0.0,151.887,-0.975438,1.42226,1.24356,1.4318,-7.37208,-620.062,331.263,-11.9695,6.00714,-4.6862,1.98693,703.1063237382757
342,0,8.00733,0.367518,y,29.7116,11.1807,322.469,223.495,-6.85218,1.40863,-2.64166,-5.42372,15.1319,-484.893,-444.07,-78.0825,-11.1318,-6.32114,-6.59196,709.9096285042914
343,Pismis_4,8.08582,0.367825,0,7.16137,3.87179,0.0,263.078,-2.34159,1.40685,-21.209,-4.53052,-3.4631,-85.5932,-705.039,-29.0416,-21.0944,6.31656,-4.4911,710.8078331023208
344,0,8.04661,0.325585,y,35.061,8.70774,192.981,221.206,-1.78978,1.40513,-1.75276,-7.36591,9.57557,-578.494,-482.382,-18.4842,-0.957134,1.16568,-7.24296,711.6779230391494
345,0,8.00831,0.574993,0,25.3915,26.9275,0.0,185.891,-4.82915,1.38393,3.97364,-2.74994,-3.52907,-716.213,-73.8974,-60.8302,4.22511,-3.68957,-2.39238,722.579899272362
346,COIN-Gaia_8,8.03809,0.531853,0,7.61885,4.7037,0.0,139.772,-9.37182,1.35836,-5.23951,2.65357,-14.0993,-554.555,469.106,-119.88,14.0278,-4.75189,5.06175,736.1818663682676
347,0,8.00869,0.953877,0,23.8589,13.107,0.0,35.6253,-6.24037,1.35249,12.2987,0.860046,11.5328,597.436,428.122,-80.3701,2.43084,16.8996,-0.413335,739.3770009390088
348,Harvard_10,8.06495,0.559998,y,59.3405,12.1184,282.79,333.313,-3.35274,1.34511,-9.61011,-8.56689,-13.2139,684.332,-313.948,-40.382,-22.181,0.721373,-7.13543,743.4336225290125
349,Alessi_37,8.01204,0.539001,y,99.9343,10.2134,435.085,107.601,-9.43875,1.32572,-14.54,3.1948,-6.21262,-284.005,718.349,-108.535,16.6914,-1.05861,3.84659,754.3070935039073
350,0,8.06998,0.526001,0,27.0858,8.17593,0.0,310.812,-0.150295,1.31805,-20.9193,-7.02455,-11.1178,495.866,-574.221,-1.99017,-23.5267,-5.26892,-7.12552,758.6965593111036
351,0,8.08679,1.15836,0,12.0252,7.22368,0.0,14.5959,-2.51896,1.29085,-10.3862,-0.92921,-5.27295,748.956,195.031,-34.0472,-2.60485,-11.5391,-0.700579,774.6833481814308
352,0,8.0852,1.29454,0,10.7253,5.10928,0.0,56.6362,-2.86774,1.27816,-30.7609,-1.15954,8.69555,429.732,652.619,-39.1427,31.6223,-10.2605,-1.65097,782.3746635788947
353,Johansson_1,8.02462,0.626609,y,138.334,18.2925,463.186,318.325,2.07106,1.26988,-12.156,-0.624895,-15.7835,539.079,-561.124,36.3813,-19.437,-5.41927,1.13089,787.4759819825496
354,NGC_6178,8.02833,0.778709,y,44.5253,16.9779,269.573,340.761,-2.2082,1.26188,3.80827,1.44368,-3.13099,730.595,-239.048,-48.5102,1.44754,1.93601,2.94621,792.4683805116176
355,0,8.07342,0.219504,0,12.9586,18.4904,0.0,245.038,2.5637,1.24633,-12.4305,-1.20083,1.29915,-338.265,-726.68,35.8894,-12.2112,4.16497,-1.05818,802.3557163833015
356,NGC_7243,8.07647,0.584336,0,17.0316,5.58395,0.0,99.2252,-5.55581,1.1661,-17.719,-2.61854,11.9331,-136.834,842.489,-83.0247,16.0159,14.6482,-3.80709,857.5593859874797
357,NGC_6134,8.0603,0.717738,y,31.5823,8.81595,143.624,330.831,-1.4472,1.16394,3.01803,3.93287,-0.776071,764.6,-413.64,-19.0748,-2.27227,5.16103,3.96506,859.1508153341238
358,0,8.03686,0.63495,y,63.4399,9.49031,245.927,305.476,-6.84618,1.14961,-2.75485,-3.97014,-4.82106,492.826,-717.333,-104.948,-6.02029,2.49809,-3.56632,869.8602134636963
359,0,8.01599,0.421999,0,36.629,11.9568,0.0,291.725,1.45796,1.14138,-30.9044,0.369836,-8.55497,324.199,-813.636,22.2917,-32.4936,-3.52128,0.179663,876.1324011284586
360,0,8.0473,0.233699,0,5.95065,4.24427,0.0,216.459,5.03342,1.14042,-7.31069,1.21305,-3.83957,-702.528,-519.067,76.9334,-1.25453,8.46548,0.90499,876.8699251153083
361,0,8.021,0.267,0,3.61143,3.82866,0.0,221.373,0.62915,1.13952,0.84372,1.85183,-8.93349,-658.506,-579.995,9.63609,7.44233,5.40403,1.82103,877.5624824487504
362,0,8.008,0.964,0,8.57301,7.45022,0.0,27.785,-8.06371,1.13194,-4.74267,8.06742,20.0525,773.851,407.747,-123.923,21.2941,5.66598,5.41965,883.4390515398344
363,Ruprecht_116,8.02388,0.699814,y,55.0724,10.5403,156.793,328.998,-1.79265,1.11459,5.24628,-4.43632,-13.5235,754.636,-470.529,-26.5928,1.79927,4.74872,-4.43285,897.1908953067945
364,NGC_1582,8.08447,0.951325,0,7.62294,12.3313,0.0,159.244,-3.14135,1.09777,-3.99087,9.94117,0.581443,-850.54,322.343,-49.9191,0.405625,4.3614,10.4006,910.9376281006041
365,Lynga_2,8.06001,1.159,0,4.96694,4.01208,0.0,313.845,-0.44157,1.09106,-18.7941,-1.9597,-43.9163,634.882,-661.003,-7.06359,-45.1029,18.9731,-1.67245,916.5398786501203
366,0,8.07846,0.333086,0,7.05114,5.84474,0.0,231.503,-4.52126,1.08653,-7.68814,-7.29181,45.9881,-571.122,-718.069,-72.5513,-35.0064,-31.3101,-11.1686,920.3611497151481
367,0,8.06,3.0,0,1.96169,2.31301,0.0,114.363,5.13455,1.03705,-29.3419,-0.791481,2.07527,-396.183,874.885,86.298,26.8198,14.5454,-0.619768,964.2736608649534
368,0,8.10291,0.168583,y,16.3514,4.11467,63.8736,348.216,5.87705,7.15849,-14.206,-7.416,12.6339,134.826,-34.4676,13.2803,12.1182,-18.012,-5.99529,139.69426513133357
369,Pleiades,8.12961,0.21957,0,9.41928,4.50585,0.0,166.078,-23.457,6.98883,14.4799,-9.23877,-3.67091,-127.405,31.581,-56.9568,3.43731,-16.3359,-7.31541,143.0854663799234
370,0,8.16773,0.208527,0,12.7743,11.4923,0.0,197.219,-6.69656,6.55218,-0.399967,0.710597,8.13305,-144.786,-44.8726,-17.7973,-7.94859,-2.58561,-0.144658,152.62095974164325
371,0,8.16579,0.159225,0,7.92397,7.70342,0.0,281.411,-20.1169,5.76242,13.5215,0.918961,-1.99233,32.238,-159.73,-59.686,12.6716,4.10402,1.78533,173.53820096417826
372,0,8.17767,0.124614,y,22.3906,9.46862,131.402,107.847,-23.3034,5.26749,-4.08906,3.1783,1.91539,-50.0348,168.526,-76.929,2.58579,3.26514,3.3807,189.8437396179205
373,0,8.108,0.22235,0,8.93971,5.29493,0.0,239.293,-12.2054,5.23075,-25.5549,6.71608,33.5781,-95.4185,-160.656,-40.4182,-40.4472,-16.7136,-0.506488,191.17717344549064
374,0,8.10709,0.167166,0,9.73936,8.69399,0.0,325.102,-19.4316,3.93065,-28.8896,-5.45362,5.94954,196.776,-137.261,-84.6377,-13.118,-25.6703,-7.15712,254.41084807856208
