RAdeg,DEdeg,2MASS,EPIC,D17-Prot,D17-P,Prot,P,dCMD,eCMD,RVel,e_RVel,epsi,gmag,b-r,Teff,Gaia,SFlag,bp_rp,bp_g,g_rp,distance,x,y,z,u,v,w
130.240967,23.121376,2MASS J08405784+2307170,212154066,0.67,2,0.67,2,-0.165315,0.048994,0,0,0.54,18.408,3.281,3072.82,666127888351163136,NYY-Y,3.281211853,1.931558609,1.349653244,,,,,,,
132.318787,21.586725,2MASS J08491651+2135122,212077095,1.13,2,1.13,2,-1.21334,0.01207,0,0,0.33,15.266,2.703,3517.31,662003860752394880,NNY-Y,2.703415871,1.499144554,1.204271317,,,,,,,
131.235138,18.371399,2MASS J08445644+1822171,0,6.66,P,6.66,P,-0.235385,0.005948,0,0,0.16,14.995,2.226,3717.58,660158674082552320,YY--Y,2.225618362,1.151177406,1.074440956,,,,,,,
132.209778,22.425533,2MASS J08485035+2225320,212120476,16.79,2,16.79,2,-0.034426,0.001972,0,0,4.58,13.386,1.533,4268.11,689077955900917248,-YY-Y,1.532876015,0.690603256,0.842272758,,,,,,,
132.127396,19.752003,2MASS J08483058+1945073,211968460,0.79,2,0.79,2,1.49451,0.122293,0,0,0.55,18.965,2.984,3051.61,661486158278348160,YNY-Y,2.984182358,1.573453903,1.410728455,,,,,,,
128.135162,20.844719,2MASS J08323244+2050410,212035441,16.51,2,16.51,2,-0.036523,0.009487,0,0,0.45,16.491,2.715,3451.23,664658700297947008,YYY-Y,2.715338707,1.504512787,1.21082592,,,,,,,
129.999908,19.577913,2MASS J08395999+1934405,211956852,10.56,K,10.56,K,0.097468,0.003536,-1.68,1.46,0,12.577,1.207,4814.5,661294705815866240,YYYYY,1.206858635,0.537657738,0.669200897,,,,,,,
129.345108,17.687569,2MASS J08372284+1741153,211826149,7.21,2,7.21,2,-0.191161,0.017539,0,0,0.37,17.007,2.906,3356.77,659321499058103424,YYN-Y,2.906267166,1.641389847,1.264877319,,,,,,,
131.310211,19.555714,2MASS J08451446+1933206,211955381,0.88,2,0.88,2,-0.332546,0.041012,0,0,0,18.199,3.265,3181.67,661131393979861120,YYN-Y,3.265392303,1.891399384,1.37399292,,,,,,,
126.423393,19.511806,2MASS J08254163+1930425,211952571,0.28,2,0.28,2,0.473102,0.061974,0,0,0.41,18.203,3.059,3225.46,663346531952796416,NYY-Y,3.059114456,1.738637924,1.320476532,,,,,,,
132.891281,17.70676,2MASS J08513391+1742244,211827466,0.57,2,0.57,2,0.830342,0.040677,0,0,0.78,18.278,2.978,3155.99,659920144486898944,YYY-Y,2.977651596,1.628826141,1.348825455,,,,,,,
128.359528,23.520081,2MASS J08332629+2331123,212171351,10.69,2,10.69,2,-0.237612,0.012272,0,0,0.35,16.048,2.647,3490.98,666354800062502784,NYY-Y,2.646759033,1.46213913,1.184619904,,,,,,,
130.84967,18.679192,2MASS J08432393+1840451,211896749,21.17,2,21.17,2,0.01621,0.003418,0,0,0.16,15.602,2.37,3592.66,660933073866203264,YYY-Y,2.370339394,1.25370121,1.116638184,,,,,,,
131.268768,17.004759,2MASS J08450451+1700171,211778044,0.46,2,0.46,2,-0.499644,0.037733,0,0,10.18,17.977,3.248,3052.45,658316094456944128,-NY-Y,3.248273849,1.760925293,1.487348557,,,,,,,
127.73101,19.555485,2MASS J08305547+1933198,211955365,6.74,K,6.74,K,-0.050926,0.00186,0.97,0.43,0,10.647,0.785,5929.1,662925629454594944,YYYYY,0.784738541,0.329689026,0.455049515,,,,,,,
131.045532,21.793961,2MASS J08441093+2147384,212088298,15.33,2,15.33,2,-0.108803,0.007885,0,0,0.27,16.471,2.729,3414.73,665059403566191872,NYY-Y,2.728574753,1.513544083,1.21503067,,,,,,,
132.249588,20.698765,2MASS J08485991+2041555,212026716,0.3,2,0.3,2,-0.683915,0.042498,0,0,0.42,17.929,3.3,3240.47,661699566613242880,NNY-Y,3.299955368,1.925157547,1.374797821,,,,,,,
127.893532,17.306534,2MASS J08313445+1718236,211799259,0.58,2,0.58,2,1.92455,0.140892,0,0,0.97,18.478,2.722,3110.57,659095308900151552,YNY-Y,2.721757889,1.353065491,1.368692398,,,,,,,
